record_id|council_name|source_document|section_num|chiefdom|constituency|sn|project_name|village|ward|chiefdom_in_row|resources|priority|sub_item|source_page|category|sector|project_name_short
23|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|4|Development of Livestock Multiplication Centres|Minga Stop||Msumbazi||Land – 10 hectares|Unskilled Labour|77|IDP_PROJECTS|Agriculture|Development of Livestock Multiplication Centres
24|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|4|Development of Livestock Multiplication Centres|Minga Stop||Msumbazi||Land – 10 hectares|Mumbi HQs|77|IDP_PROJECTS|Agriculture|Development of Livestock Multiplication Centres
25|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|4|Development of Livestock Multiplication Centres|Minga Stop||Msumbazi||Land – 10 hectares|Ongolwe|77|IDP_PROJECTS|Agriculture|Development of Livestock Multiplication Centres
26|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|4|Development of Livestock Multiplication Centres|Minga Stop||Msumbazi||Land – 10 hectares|Crushed stones|77|IDP_PROJECTS|Agriculture|Development of Livestock Multiplication Centres
27|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|4|Development of Livestock Multiplication Centres|Minga Stop||Msumbazi||Land – 10 hectares|River/Building Sand|77|IDP_PROJECTS|Agriculture|Development of Livestock Multiplication Centres
28|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|4|Development of Livestock Multiplication Centres|Minga Stop||Msumbazi||Land – 10 hectares|Livestock farmers|77|IDP_PROJECTS|Agriculture|Development of Livestock Multiplication Centres
29|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|5|Construction of Health Centres|Mondola Chisoyo Ching’ombe|Ongolwe||Land – 5 hectares Unskilled Labour Crushed stones River/Building Sand|Land – 5 hectares|Unskilled Labour|77|IDP_PROJECTS|Health|Construction of Health Centres
30|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|5|Construction of Health Centres|Mondola Chisoyo Ching’ombe|Ongolwe||Land – 5 hectares Unskilled Labour Crushed stones River/Building Sand|Land – 5 hectares|Crushed stones|77|IDP_PROJECTS|Health|Construction of Health Centres
31|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|5|Construction of Health Centres|Mondola Chisoyo Ching’ombe|Ongolwe||Land – 5 hectares Unskilled Labour Crushed stones River/Building Sand|Land – 5 hectares|Mng’omba Ngoli|77|IDP_PROJECTS|Health|Construction of Health Centres
32|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|5|Construction of Health Centres|Mondola Chisoyo Ching’ombe|Ongolwe||Land – 5 hectares Unskilled Labour Crushed stones River/Building Sand|Land – 5 hectares|Msumbazi|77|IDP_PROJECTS|Health|Construction of Health Centres
33|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|5|Construction of Health Centres|Mondola Chisoyo Ching’ombe|Ongolwe||Land – 5 hectares Unskilled Labour Crushed stones River/Building Sand|Land – 5 hectares|River/Building Sand|77|IDP_PROJECTS|Health|Construction of Health Centres
34|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|Unskilled Labour|77|IDP_PROJECTS|Security|Construction of police posts
35|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|Minga Stop|77|IDP_PROJECTS|Security|Construction of police posts
36|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|Msumbazi|77|IDP_PROJECTS|Security|Construction of police posts
37|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|Crushed stones|77|IDP_PROJECTS|Security|Construction of police posts
38|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|River/Building Sand|77|IDP_PROJECTS|Security|Construction of police posts
39|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|7|Construction of Agriculture Staff Houses (Extension Services Enhancement)|M’nyeche||Msumbazi||Land|Unskilled Labour|77|IDP_PROJECTS|Agriculture|Construction of Agriculture Staff Houses (Extension Services Enhancement)
40|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|7|Construction of Agriculture Staff Houses (Extension Services Enhancement)|M’nyeche||Msumbazi||Land|Mumbi B|77|IDP_PROJECTS|Agriculture|Construction of Agriculture Staff Houses (Extension Services Enhancement)
41|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|7|Construction of Agriculture Staff Houses (Extension Services Enhancement)|M’nyeche||Msumbazi||Land|Ongolwe|77|IDP_PROJECTS|Agriculture|Construction of Agriculture Staff Houses (Extension Services Enhancement)
42|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|7|Construction of Agriculture Staff Houses (Extension Services Enhancement)|M’nyeche||Msumbazi||Land|Crushed stones|77|IDP_PROJECTS|Agriculture|Construction of Agriculture Staff Houses (Extension Services Enhancement)
43|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|7|Construction of Agriculture Staff Houses (Extension Services Enhancement)|M’nyeche||Msumbazi||Land|River/Building Sand|77|IDP_PROJECTS|Agriculture|Construction of Agriculture Staff Houses (Extension Services Enhancement)
44|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|9|Construction of Storage Sheds.|Mondola|||Land Unskilled Labour Crushed stones River/Building Sand|9|Mumbi|78|IDP_PROJECTS|Infrastructure|Construction of Storage Sheds.
45|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|9|Construction of Storage Sheds.|Mondola|||Land Unskilled Labour Crushed stones River/Building Sand|9|Chumbe|78|IDP_PROJECTS|Infrastructure|Construction of Storage Sheds.
46|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|9|Construction of Storage Sheds.|Mondola|||Land Unskilled Labour Crushed stones River/Building Sand|9|Mng’omba|78|IDP_PROJECTS|Infrastructure|Construction of Storage Sheds.
47|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|9|Construction of Storage Sheds.|Mondola|||Land Unskilled Labour Crushed stones River/Building Sand|9|Msumbazi|78|IDP_PROJECTS|Infrastructure|Construction of Storage Sheds.
48|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|9|Construction of Storage Sheds.|Mondola|||Land Unskilled Labour Crushed stones River/Building Sand|9|Minga Stop|78|IDP_PROJECTS|Infrastructure|Construction of Storage Sheds.
49|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|9|Construction of Storage Sheds.|Mondola|||Land Unskilled Labour Crushed stones River/Building Sand|9|Mtumbata|78|IDP_PROJECTS|Infrastructure|Construction of Storage Sheds.
50|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|10|Construction of Skills Training Centres|Mumbi|||Land Unskilled Labour Crushed stones River/Building Sand|10|Minga Stop|78|IDP_PROJECTS|Education|Construction of Skills Training Centres
51|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|10|Construction of Skills Training Centres|Mumbi|||Land Unskilled Labour Crushed stones River/Building Sand|10|Msumbazi|78|IDP_PROJECTS|Education|Construction of Skills Training Centres
52|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)||Pilimbila,Mnado||Land Streams Unskilled Labour Crushed stones River/Building Sand|2|Matonje, Kayebe|80|IDP_PROJECTS|Agriculture|Construction/Rehabilitation of Dams (irrigation Schemes)
53|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)||Pilimbila,Mnado||Land Streams Unskilled Labour Crushed stones River/Building Sand|2|Kaweza, Kasusu|80|IDP_PROJECTS|Agriculture|Construction/Rehabilitation of Dams (irrigation Schemes)
54|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)||Pilimbila,Mnado||Land Streams Unskilled Labour Crushed stones River/Building Sand|2|Kaselo, Kalonga|80|IDP_PROJECTS|Agriculture|Construction/Rehabilitation of Dams (irrigation Schemes)
55|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)||Pilimbila,Mnado||Land Streams Unskilled Labour Crushed stones River/Building Sand|2|Mulala, Nyakulumuna|80|IDP_PROJECTS|Agriculture|Construction/Rehabilitation of Dams (irrigation Schemes)
56|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)||Pilimbila,Mnado||Land Streams Unskilled Labour Crushed stones River/Building Sand|2|Kalumbwa, Nyandwane|80|IDP_PROJECTS|Agriculture|Construction/Rehabilitation of Dams (irrigation Schemes)
57|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)||Pilimbila,Mnado||Land Streams Unskilled Labour Crushed stones River/Building Sand|2|Lwatizi|80|IDP_PROJECTS|Agriculture|Construction/Rehabilitation of Dams (irrigation Schemes)
58|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|3|Construction/Rehabilitation of Feeder Roads and Culverts|Njanjande/Mtilizi Kasero/Mtumbata Muzizi/Kayebe Mankhungwe/ Chiozanda Sanjama/Makoza/ Mankhungwe Muzizi/Kayebe Mankhungwe/|||Land Unskilled Labour Crushed stones River/Building Sand|3||80|IDP_PROJECTS|Roads|Construction/Rehabilitation of Feeder Roads and Culverts
59|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Unskilled Labour|81|IDP_PROJECTS|Health|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.
