section_num|chiefdom|constituency|sn|project_name|village|ward|chiefdom_in_row|resources|priority|sub_item|source_page
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)||Pilimbila,Mnado||Land Streams Unskilled Labour Crushed stones River/Building Sand|2|Matonje, Kayebe|80
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)||Pilimbila,Mnado||Land Streams Unskilled Labour Crushed stones River/Building Sand|2|Kaweza, Kasusu|80
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)||Pilimbila,Mnado||Land Streams Unskilled Labour Crushed stones River/Building Sand|2|Kaselo, Kalonga|80
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)||Pilimbila,Mnado||Land Streams Unskilled Labour Crushed stones River/Building Sand|2|Mulala, Nyakulumuna|80
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)||Pilimbila,Mnado||Land Streams Unskilled Labour Crushed stones River/Building Sand|2|Kalumbwa, Nyandwane|80
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)||Pilimbila,Mnado||Land Streams Unskilled Labour Crushed stones River/Building Sand|2|Lwatizi|80
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|3|Construction/Rehabilitation of Feeder Roads and Culverts|Njanjande/Mtilizi Kasero/Mtumbata Muzizi/Kayebe Mankhungwe/ Chiozanda Sanjama/Makoza/ Mankhungwe Muzizi/Kayebe Mankhungwe/|||Land Unskilled Labour Crushed stones River/Building Sand|3||80
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Unskilled Labour|81
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Crushed stones|81
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|River/Building Sand|81
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Burnt Bricks Land|81
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Stones|81
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Gravel|81
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|8|Creation of Community Forests|Sanjama, Julius, Mazombwe, Sing’omba, Mulindang’ombe, Chitelele, Makwinza|All wards|Mwanjawanthu||8|Existing unprotected|81
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|8|Creation of Community Forests|Sanjama, Julius, Mazombwe, Sing’omba, Mulindang’ombe, Chitelele, Makwinza|All wards|Mwanjawanthu||8|forests in some wards|81
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|8|Creation of Community Forests|Sanjama, Julius, Mazombwe, Sing’omba, Mulindang’ombe, Chitelele, Makwinza|All wards|Mwanjawanthu||8|Unskilled Labour|81
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|10|Construction of Staff Houses, Schools /Upgrading of Schools|Various schools|All the wards.|Mwanjawanthu||10|Unskilled Labour|82
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|10|Construction of Staff Houses, Schools /Upgrading of Schools|Various schools|All the wards.|Mwanjawanthu||10|Crushed stones|82
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|10|Construction of Staff Houses, Schools /Upgrading of Schools|Various schools|All the wards.|Mwanjawanthu||10|River/Building Sand|82
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|10|Construction of Staff Houses, Schools /Upgrading of Schools|Various schools|All the wards.|Mwanjawanthu||10|Burnt Bricks|82
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|12|Construction of Storage Sheds.|Various|all wards|Mwanjawanthu||12|Unskilled Labour|82
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|12|Construction of Storage Sheds.|Various|all wards|Mwanjawanthu||12|Crushed stones|82
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|12|Construction of Storage Sheds.|Various|all wards|Mwanjawanthu||12|River/Building Sand|82
3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|13|Construction of Skills Training Centres|Kaumbwe|Kaumbwe|Mwanjawanthu||13||82
3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|Uns|85
3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|kille|85
3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|d|85
3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|Labo|85
3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|ur|85
3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|Crus|85
3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|hed|85
3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|ston|85
3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|es|85
