sn|council|indicator_group|indicator|metric|year|value
34|Petauke Town Council|Performance Assessment Conducted|01 Number of facilities that have conducted quarterly performance assessment|target|2024|28
35|Petauke Town Council|Performance Assessment Conducted|02 Number of facilities with reviewed quarterly action plans|target|2024|14
36|Petauke Town Council|Medical and Surgical Services Conducted|Medical and Surgical Services Conducted|target|2024|100
37|Petauke Town Council|Medical and Surgical Services Conducted|03 Tuberculosis (TB) treatment success rate|target|2024|64235
38|Petauke Town Council|Medical and Surgical Services Conducted|04 Number of structures sprayed with indoor residual spray (coverage)|target|2024|77
39|Petauke Town Council|Township Roads Rehabilitated|Township Roads Rehabilitated|target|2024|30
40|Petauke Town Council|Animal Health Extension and Advisory Services Provided|Animal Health Extension and Advisory Services Provided|target|2024|25
41|Petauke Town Council|Animal Health Extension and Advisory Services Provided|01 Number of Disease surveillance programs and activities undertaken|target|2024|550
42|Petauke Town Council|Animal Health Extension and Advisory Services Provided|03 Number of slaughter permits issued|target|2024|201
43|Petauke Town Council|Roads Rehabilitated using Fuel Allocation|Roads Rehabilitated using Fuel Allocation|target|2025|60
44|Petauke Town Council|Community Projects Branded|Community Projects Branded|target|2025|40
45|Petauke Town Council|Weekly CDF Radio Shows Held|Weekly CDF Radio Shows Held|target|2025|52
46|Petauke Town Council|CDF News Letters Produced|CDF News Letters Produced|target|2025|2
47|Petauke Town Council|Secondary Boarding and Skills Development Bursaries Supported|Secondary Boarding and Skills Development Bursaries Supported|target|2025|686
48|Petauke Town Council|Secondary Boarding and Skills Development Bursaries Supported|01 Number of secondary boarding bursary learners supported|target|2025|468
49|Petauke Town Council|Ward Development Committees backstopped|Ward Development Committees backstopped|target|2025|13
50|Petauke Town Council|Ward Development Committees backstopped|01 Number of Ward Development Committees backstopped|target|2025|52
51|Petauke Town Council|Number of Ward Development Committees formed and orientaed|Number of Ward Development Committees formed and orientaed|target|2025|13
52|Petauke Town Council|Council Meetings Held|Council Meetings Held|target|2025|3
53|Petauke Town Council|Council Meetings Held|01 Number of Ordinary Council meetings held|target|2025|1
54|Petauke Town Council|Council Meetings Held|02 Number of Special Council meetings conducted|target|2025|12
55|Petauke Town Council|Councillors orientations held|Councillors orientations held|target|2025|1
56|Petauke Town Council|Community Engagement Meetings Held|Community Engagement Meetings Held|target|2025|15
57|Petauke Town Council|Environmental Compliance Inspections Conducted|Environmental Compliance Inspections Conducted|target|2025|8
58|Petauke Town Council|Environmental Compliance Inspections Conducted|01 Number of environmental compliance inspections conducted|target|2025|100
59|Petauke Town Council|Environmental Compliance Inspections Conducted|02 Percentage of Environmental Project Briefs reviewed|target|2025|5
60|Petauke Town Council|Planning Permission Granted|Planning Permission Granted|target|2025|20
61|Petauke Town Council|Planning Permission Granted|01 Number of planning permission granted|target|2025|100
62|Petauke Town Council|Numbering and Survey of Plots Facilitated|Numbering and Survey of Plots Facilitated|target|2025|20
63|Petauke Town Council|Numbering and Survey of Plots Facilitated|01 Number of plots facilitated for numbering|target|2025|20
64|Petauke Town Council|National Days Commemorated|National Days Commemorated|target|2025|4
65|Petauke Town Council|Building inspections conducted|Building inspections conducted|target|2025|15
66|Petauke Town Council|District Planning Documents Developed and Reviewed|District Planning Documents Developed and Reviewed|target|2025|1
67|Petauke Town Council|District Planning Documents Developed and Reviewed|01 Gender Equality and Social Inclusion Policy developed|target|2025|13
68|Petauke Town Council|District Planning Documents Developed and Reviewed|03 Number of district profile developed|target|2025|1
69|Petauke Town Council|District Planning Documents Developed and Reviewed|04 Number of Integrated Development Plan reviewed|target|2025|1
70|Petauke Town Council|Condoms distributed|Condoms distributed|target|2025|856224
71|Petauke Town Council|Unclaimed Bodies Disposed|Unclaimed Bodies Disposed|target|2025|15
72|Petauke Town Council|Food Safety Guaranteed|Food Safety Guaranteed|target|2025|700
73|Petauke Town Council|Food Safety Guaranteed|01 Numner of premises in compliance to minimum public health standards|target|2025|100
74|Petauke Town Council|Abattoir Rehabilitated|Abattoir Rehabilitated|target|2025|1
75|Petauke Town Council|Solid Waste Management Improved|Solid Waste Management Improved|target|2025|8510
76|Petauke Town Council|Solid Waste Management Improved|01 Tonnage of solid waste collected|target|2025|52
77|Petauke Town Council|Engineered Landfill Constructed|Engineered Landfill Constructed|target|2025|1
78|Petauke Town Council|Trading Spaces Created|01 Number of markets constructed|target|2025|3
79|Petauke Town Council|Bus Station Constructed|Bus Station Constructed|target|2025|1
80|Petauke Town Council|Trucking bay constructed|Trucking bay constructed|target|2025|1
81|Petauke Town Council|Public car parks established|Public car parks established|target|2025|2
82|Petauke Town Council|WASHE Conditions Improved in the District|WASHE Conditions Improved in the District|target|2025|52
83|Petauke Town Council|WASHE Conditions Improved in the District|01 Number of Community Sensitisations Campaign on WASHE conducted|target|2025|680
84|Petauke Town Council|Community Halls constructed|Community Halls constructed|target|2025|1
85|Petauke Town Council|Cultural Practices in the District Inventoried|Cultural Practices in the District Inventoried|target|2025|1
86|Petauke Town Council|Traditional Ceremonies Supported|Traditional Ceremonies Supported|target|2025|2
87|Petauke Town Council|Sports Activities Promoted|Sports Activities Promoted|target|2025|4
88|Petauke Town Council|Sports Activities Promoted|03 Number of sports equipment procured|target|2025|4
89|Petauke Town Council|Sports Activities Promoted|04 Number of sports associations registered|target|2025|4
90|Petauke Town Council|Sports Activities Promoted|05 Number of health walks conducted|target|2025|1
91|Petauke Town Council|Sports Activities Promoted|06 Number of coaching clinics conducted|target|2025|16
92|Petauke Town Council|Sports Activities Promoted|07 Number of Petauke United Football Club games supported|target|2025|3
93|Petauke Town Council|Sports Facility Rehabilitated|Sports Facility Rehabilitated|target|2025|2
94|Petauke Town Council|District Record Surveyed|District Record Surveyed|target|2025|1
95|Petauke Town Council|Records Collected|Records Collected|target|2025|100
96|Petauke Town Council|Records Processed and Shelved|Records Processed and Shelved|target|2025|6
97|Petauke Town Council|Pre-School Enrolment|Pre-School Enrolment|target|2025|50
98|Petauke Town Council|Cases of Public Muisance Resolved|Cases of Public Muisance Resolved|target|2025|100
99|Petauke Town Council|Fire Protection Services Implemented|Fire Protection Services Implemented|target|2025|100
100|Petauke Town Council|Fire Protection Services Implemented|01 Percentage of sensitisation meetings on risk management conducted|target|2025|100
101|Petauke Town Council|Internal Audit Reports Actioned|Internal Audit Reports Actioned|target|2025|4
102|Petauke Town Council|Procurement plan Developed|Procurement plan Developed|target|2025|1
103|Petauke Town Council|Provincial Development Coordinating Committee meeting Attended|Provincial Development Coordinating Committee meeting Attended|target|2025|4
104|Petauke Town Council|District Development Coordinating Committee Meetings Held|District Development Coordinating Committee Meetings Held|target|2025|4
105|Petauke Town Council|Management Meetings Held|Management Meetings Held|target|2025|12
106|Petauke Town Council|Debt Liquidated|Debt Liquidated|target|2025|2
107|Petauke Town Council|Review of Legal Instruments undertaken|Review of Legal Instruments undertaken|target|2025|2
108|Petauke Town Council|Council OS Revenue Base Expanded|Council OS Revenue Base Expanded|target|2025|2
109|Petauke Town Council|Council OS Revenue Base Expanded|01 Number of Revenue agents (WDCs) engaged in revenue collection|target|2025|4
110|Petauke Town Council|Council OS Revenue Base Expanded|02 Number of revenue engagement meetings held|target|2025|1
111|Petauke Town Council|Council OS Revenue Base Expanded|03 Number of revenue database updated|target|2025|1
112|Petauke Town Council|Essential Medicines Services Provided|Essential Medicines Services Provided|target|2025|90
113|Petauke Town Council|Performance Assessment Conducted|Performance Assessment Conducted|target|2025|28
114|Petauke Town Council|Performance Assessment Conducted|01 Number of facilities that have conducted quarterly performance assessment|target|2025|28
115|Petauke Town Council|Performance Assessment Conducted|02 Number of facilities with reviewed quarterly action plans|target|2025|12
116|Petauke Town Council|Medical and Surgical Services Conducted|Medical and Surgical Services Conducted|target|2025|100
117|Petauke Town Council|Medical and Surgical Services Conducted|01 Percentage of surgical cases successfully conducted|target|2025|296
118|Petauke Town Council|Medical and Surgical Services Conducted|02 .(cid:9)Number of TB notification cases|target|2025|90
119|Petauke Town Council|Medical and Surgical Services Conducted|03 Tuberculosis (TB) treatment success rate|target|2025|65249
120|Petauke Town Council|Medical and Surgical Services Conducted|04 Number of structures sprayed with indoor residual spray (coverage)|target|2025|30
121|Petauke Town Council|Medical and Surgical Services Conducted|05 Incidence of maternal deaths per 100,000 population|target|2025|90
122|Petauke Town Council|Street Lights Installed|Street Lights Installed|target|2025|60
123|Petauke Town Council|Culvert Constructed and rehabilitated|Culvert Constructed and rehabilitated|target|2025|2
124|Petauke Town Council|Culvert Constructed and rehabilitated|01 Number of culverts constructed|target|2025|4
125|Petauke Town Council|Township Roads Rehabilitated|Township Roads Rehabilitated|target|2025|20
126|Petauke Town Council|Climate Smart Agriculture (CSA) and Practices Disseminated|Climate Smart Agriculture (CSA) and Practices Disseminated|target|2025|6
127|Petauke Town Council|Climate Smart Agriculture (CSA) and Practices Disseminated|01 Number of crop monitoring reports produced|target|2025|8
128|Petauke Town Council|Climate Smart Agriculture (CSA) and Practices Disseminated|02 Number of farmers field schools established|target|2025|5
129|Petauke Town Council|Irrigation Technologies and Practices Enhanced|Irrigation Technologies and Practices Enhanced|target|2025|4
130|Petauke Town Council|Land Husbandry Technologies Dissseminated|Land Husbandry Technologies Dissseminated|target|2025|320
131|Petauke Town Council|Farmer Power and Mechanisation (FPM) Enhanced|Farmer Power and Mechanisation (FPM) Enhanced|target|2025|8
132|Petauke Town Council|Agricultural Extension Services Delivery Improved|Agricultural Extension Services Delivery Improved|target|2025|1
133|Petauke Town Council|Agricultural Extension Services Delivery Improved|01 Numbers farmers registers updated|target|2025|1
134|Petauke Town Council|Agricultural Extension Services Delivery Improved|02 Number of camp houses rehabilitated|target|2025|1
135|Petauke Town Council|Agriculture Information Collected|Agriculture Information Collected|target|2025|12
136|Petauke Town Council|Agricultural Market Crops Established|Agricultural Market Crops Established|target|2025|5
137|Petauke Town Council|Agricultural Market Crops Established|01 Number of entrepreneurship skills trainings conducted|target|2025|2
138|Petauke Town Council|Market Information Systems Established|Market Information Systems Established|target|2025|1
139|Petauke Town Council|Planning, Mnitoring and Evaluation Conducted|Planning, Mnitoring and Evaluation Conducted|target|2025|4
140|Petauke Town Council|Agricultural Shows Coordinated|Agricultural Shows Coordinated|target|2025|3
141|Petauke Town Council|Monthly Marketing Bulletins Produced and Disseminated|Monthly Marketing Bulletins Produced and Disseminated|target|2025|12
142|Petauke Town Council|Entrepreneurship Trainings Conducted|Entrepreneurship Trainings Conducted|target|2025|4
143|Petauke Town Council|Animal Health Extension and Advisory Services Provided|Animal Health Extension and Advisory Services Provided|target|2025|60
144|Petauke Town Council|Animal Health Extension and Advisory Services Provided|01 Number of Disease surveillance programs and activities undertaken|target|2025|350
145|Petauke Town Council|Animal Health Extension and Advisory Services Provided|02 Number of stock movement permits issued|target|2025|200
146|Petauke Town Council|Animal Health Extension and Advisory Services Provided|03 Number of slaughter permits issued|target|2025|500
147|Petauke Town Council|Aquaculture Extension Services|Aquaculture Extension Services|target|2025|20
148|Petauke Town Council|Aquaculture Extension Services|01 Number of fish farming trainings and sensitisations conducted|target|2025|12
149|Petauke Town Council|Aquaculture Extension Services|02 Number of patrols conducted|target|2025|25
150|Petauke Town Council|Extension Services Provided to Farmers|Extension Services Provided to Farmers|target|2025|4
151|Petauke Town Council|Extension Services Provided to Farmers|01 Number of farmer trainings in livestock production and management|target|2025|2
152|Petauke Town Council|Extension Services Provided to Farmers|02 Number of climate smart technologies disseminated to farmers|target|2025|22
153|Petauke Town Council|Backstopping and Monitoring Vsits Conducted|Backstopping and Monitoring Vsits Conducted|target|2025|12
154|Petauke Town Council|Welfare and Counselling Services Provided|Welfare and Counselling Services Provided|target|2025|10
155|Petauke Town Council|Welfare Services to GBVs Survivors Provided|Welfare Services to GBVs Survivors Provided|target|2025|20
156|Petauke Town Council|Older Persons Cared|Older Persons Cared|target|2025|50
157|Petauke Town Council|Cash for Work Initiative Implemented|Cash for Work Initiative Implemented|target|2025|23616
158|Petauke Town Council|Cash for Work Initiative Implemented|01 Number of beneficiaries receiving Cash for Work|target|2025|92
159|Petauke Town Council|Functional Literacy literacy students enrolled|Functional Literacy literacy students enrolled|target|2025|80
160|Petauke Town Council|Functional Literacy literacy students enrolled|01 Number of poor and vulnerable learners trained under functional literacy|target|2025|4
161|Petauke Town Council|Functional Literacy literacy students enrolled|02 Number of adult literacy awareness meetings held|target|2025|4
162|Petauke Town Council|Roads Rehabilitated using Fuel Allocation|Roads Rehabilitated using Fuel Allocation|actual|2024|70
163|Petauke Town Council|Community Projects Branded|Community Projects Branded|actual|2024|49
164|Petauke Town Council|Weekly CDF Radio Shows Held|Weekly CDF Radio Shows Held|actual|2024|52
165|Petauke Town Council|CDF News Letters Produced|CDF News Letters Produced|actual|2024|2
166|Petauke Town Council|Secondary Boarding and Skills Development Bursaries Supported|Secondary Boarding and Skills Development Bursaries Supported|actual|2024|700
167|Petauke Town Council|Secondary Boarding and Skills Development Bursaries Supported|01 Number of secondary boarding bursary learners supported|actual|2024|400
168|Petauke Town Council|Ward Development Committees backstopped|Ward Development Committees backstopped|actual|2024|13
169|Petauke Town Council|Ward Development Committees backstopped|01 Number of Ward Development Committees backstopped|actual|2024|52
170|Petauke Town Council|Council Meetings Held|Council Meetings Held|actual|2024|4
171|Petauke Town Council|Council Meetings Held|01 Number of Ordinary Council meetings held|actual|2024|1
172|Petauke Town Council|Council Meetings Held|02 Number of Special Council meetings conducted|actual|2024|16
173|Petauke Town Council|Community Engagement Meetings Held|Community Engagement Meetings Held|actual|2024|10
174|Petauke Town Council|Environmental Compliance Inspections Conducted|Environmental Compliance Inspections Conducted|actual|2024|4
175|Petauke Town Council|Environmental Compliance Inspections Conducted|01 Number of environmental compliance inspections conducted|actual|2024|100
176|Petauke Town Council|Planning Permission Granted|Planning Permission Granted|actual|2024|24
177|Petauke Town Council|Planning Permission Granted|01 Number of planning permission granted|actual|2024|130
178|Petauke Town Council|Numbering and Survey of Plots Facilitated|Numbering and Survey of Plots Facilitated|actual|2024|20
179|Petauke Town Council|Numbering and Survey of Plots Facilitated|01 Number of plots facilitated for numbering|actual|2024|20
180|Petauke Town Council|National Days Commemorated|National Days Commemorated|actual|2024|4
181|Petauke Town Council|Building inspections conducted|Building inspections conducted|actual|2024|10
182|Petauke Town Council|District Planning Documents Developed and Reviewed|District Planning Documents Developed and Reviewed|actual|2024|1
183|Petauke Town Council|District Planning Documents Developed and Reviewed|01 Gender Equality and Social Inclusion Policy developed|actual|2024|13
184|Petauke Town Council|District Planning Documents Developed and Reviewed|02 Number of ward plans developed|actual|2024|1
185|Petauke Town Council|District Planning Documents Developed and Reviewed|03 Number of district profile developed|actual|2024|1
186|Petauke Town Council|Condoms distributed|Condoms distributed|actual|2024|669600
187|Petauke Town Council|Unclaimed Bodies Disposed|Unclaimed Bodies Disposed|actual|2024|10
188|Petauke Town Council|Food Safety Guaranteed|Food Safety Guaranteed|actual|2024|690
189|Petauke Town Council|Food Safety Guaranteed|01 Numner of premises in compliance to minimum public health standards|actual|2024|100
190|Petauke Town Council|Abattoir Rehabilitated|Abattoir Rehabilitated|actual|2024|1
191|Petauke Town Council|Solid Waste Management Improved|Solid Waste Management Improved|actual|2024|8600
192|Petauke Town Council|Solid Waste Management Improved|01 Tonnage of solid waste collected|actual|2024|52
193|Petauke Town Council|Engineered Landfill Constructed|Engineered Landfill Constructed|actual|2024|1
194|Petauke Town Council|Trading Spaces Created|Trading Spaces Created|actual|2024|1
195|Petauke Town Council|Trading Spaces Created|01 Number of markets constructed|actual|2024|3
196|Petauke Town Council|Bus Station Constructed|Bus Station Constructed|actual|2024|1
197|Petauke Town Council|WASHE Conditions Improved in the District|WASHE Conditions Improved in the District|actual|2024|52
198|Petauke Town Council|WASHE Conditions Improved in the District|01 Number of Community Sensitisations Campaign on WASHE conducted|actual|2024|640
199|Petauke Town Council|Cultural Practices in the District Inventoried|Cultural Practices in the District Inventoried|actual|2024|1
200|Petauke Town Council|Traditional Ceremonies Supported|Traditional Ceremonies Supported|actual|2024|2
201|Petauke Town Council|Sports Activities Promoted|Sports Activities Promoted|actual|2024|7
202|Petauke Town Council|Sports Activities Promoted|01 Number of community sports descipline activities promoted at ward level|actual|2024|7
203|Petauke Town Council|Sports Activities Promoted|02 Number of sports activities conducted at district level|actual|2024|7
204|Petauke Town Council|Sports Activities Promoted|03 Number of sports equipment procured|actual|2024|7
205|Petauke Town Council|Sports Activities Promoted|04 Number of sports associations registered|actual|2024|4
206|Petauke Town Council|Sports Activities Promoted|05 Number of health walks conducted|actual|2024|1
207|Petauke Town Council|Sports Activities Promoted|06 Number of coaching clinics conducted|actual|2024|16
208|Petauke Town Council|Sensitisation of Communities on the National Sports Policy Conducted|Sensitisation of Communities on the National Sports Policy Conducted|actual|2024|2
209|Petauke Town Council|Sports Facility Rehabilitated|Sports Facility Rehabilitated|actual|2024|4
210|Petauke Town Council|District Record Surveyed|District Record Surveyed|actual|2024|1
211|Petauke Town Council|Records Collected|Records Collected|actual|2024|100
212|Petauke Town Council|Records Processed and Shelved|Records Processed and Shelved|actual|2024|6
213|Petauke Town Council|Pre-School Enrolment|Pre-School Enrolment|actual|2024|50
214|Petauke Town Council|Cases of Public Muisance Resolved|Cases of Public Muisance Resolved|actual|2024|100
215|Petauke Town Council|Fire Protection Services Implemented|Fire Protection Services Implemented|actual|2024|100
216|Petauke Town Council|Fire Protection Services Implemented|01 Percentage of sensitisation meetings on risk management conducted|actual|2024|100
217|Petauke Town Council|Internal Audit Reports Actioned|Internal Audit Reports Actioned|actual|2024|4
218|Petauke Town Council|Procurement plan Developed|Procurement plan Developed|actual|2024|1
219|Petauke Town Council|Provincial Development Coordinating Committee meeting Attended|Provincial Development Coordinating Committee meeting Attended|actual|2024|4
220|Petauke Town Council|District Development Coordinating Committee Meetings Held|District Development Coordinating Committee Meetings Held|actual|2024|4
221|Petauke Town Council|Management Meetings Held|Management Meetings Held|actual|2024|12
222|Petauke Town Council|Debt Liquidated|Debt Liquidated|actual|2024|2
223|Petauke Town Council|Review of Legal Instruments undertaken|Review of Legal Instruments undertaken|actual|2024|2
224|Petauke Town Council|Council OS Revenue Base Expanded|Council OS Revenue Base Expanded|actual|2024|3
225|Petauke Town Council|Council OS Revenue Base Expanded|01 Number of Revenue agents (WDCs) engaged in revenue collection|actual|2024|4
226|Petauke Town Council|Essential Medicines Services Provided|Essential Medicines Services Provided|actual|2024|80
227|Petauke Town Council|Performance Assessment Conducted|Performance Assessment Conducted|actual|2024|28
228|Petauke Town Council|Performance Assessment Conducted|01 Number of facilities that have conducted quarterly performance assessment|actual|2024|28
229|Petauke Town Council|Performance Assessment Conducted|02 Number of facilities with reviewed quarterly action plans|actual|2024|12
230|Petauke Town Council|Medical and Surgical Services Conducted|Medical and Surgical Services Conducted|actual|2024|100
231|Petauke Town Council|Medical and Surgical Services Conducted|01 Percentage of surgical cases successfully conducted|actual|2024|584
232|Petauke Town Council|Medical and Surgical Services Conducted|02 .(cid:9)Number of TB notification cases|actual|2024|90
233|Petauke Town Council|Medical and Surgical Services Conducted|03 Tuberculosis (TB) treatment success rate|actual|2024|64235
234|Petauke Town Council|Medical and Surgical Services Conducted|04 Number of structures sprayed with indoor residual spray (coverage)|actual|2024|30
235|Petauke Town Council|Street Lights Installed|Street Lights Installed|actual|2024|42
236|Petauke Town Council|Culvert Constructed and rehabilitated|Culvert Constructed and rehabilitated|actual|2024|1
237|Petauke Town Council|Township Roads Rehabilitated|Township Roads Rehabilitated|actual|2024|4
238|Petauke Town Council|Climate Smart Agriculture (CSA) and Practices Disseminated|Climate Smart Agriculture (CSA) and Practices Disseminated|actual|2024|6
239|Petauke Town Council|Climate Smart Agriculture (CSA) and Practices Disseminated|01 Number of crop monitoring reports produced|actual|2024|10
240|Petauke Town Council|Climate Smart Agriculture (CSA) and Practices Disseminated|02 Number of farmers field schools established|actual|2024|10
241|Petauke Town Council|Irrigation Technologies and Practices Enhanced|Irrigation Technologies and Practices Enhanced|actual|2024|4
242|Petauke Town Council|Land Husbandry Technologies Dissseminated|Land Husbandry Technologies Dissseminated|actual|2024|320
243|Petauke Town Council|Farmer Power and Mechanisation (FPM) Enhanced|Farmer Power and Mechanisation (FPM) Enhanced|actual|2024|4
244|Petauke Town Council|Agricultural Extension Services Delivery Improved|Agricultural Extension Services Delivery Improved|actual|2024|1
245|Petauke Town Council|Agricultural Extension Services Delivery Improved|01 Numbers farmers registers updated|actual|2024|1
246|Petauke Town Council|Agricultural Extension Services Delivery Improved|02 Number of camp houses rehabilitated|actual|2024|1
247|Petauke Town Council|Agriculture Information Collected|Agriculture Information Collected|actual|2024|12
248|Petauke Town Council|Agricultural Market Crops Established|Agricultural Market Crops Established|actual|2024|5
249|Petauke Town Council|Agricultural Market Crops Established|01 Number of entrepreneurship skills trainings conducted|actual|2024|2
250|Petauke Town Council|Market Information Systems Established|Market Information Systems Established|actual|2024|1
251|Petauke Town Council|Planning, Mnitoring and Evaluation Conducted|Planning, Mnitoring and Evaluation Conducted|actual|2024|4
252|Petauke Town Council|Agricultural Shows Coordinated|Agricultural Shows Coordinated|actual|2024|3
253|Petauke Town Council|Monthly Marketing Bulletins Produced and Disseminated|Monthly Marketing Bulletins Produced and Disseminated|actual|2024|12
254|Petauke Town Council|Entrepreneurship Trainings Conducted|Entrepreneurship Trainings Conducted|actual|2024|2
255|Petauke Town Council|Animal Health Extension and Advisory Services Provided|Animal Health Extension and Advisory Services Provided|actual|2024|24
256|Petauke Town Council|Animal Health Extension and Advisory Services Provided|01 Number of Disease surveillance programs and activities undertaken|actual|2024|320
257|Petauke Town Council|Animal Health Extension and Advisory Services Provided|02 Number of stock movement permits issued|actual|2024|320
258|Petauke Town Council|Animal Health Extension and Advisory Services Provided|03 Number of slaughter permits issued|actual|2024|200
259|Petauke Town Council|Aquaculture Extension Services|Aquaculture Extension Services|actual|2024|16
260|Petauke Town Council|Aquaculture Extension Services|01 Number of fish farming trainings and sensitisations conducted|actual|2024|16
261|Petauke Town Council|Aquaculture Extension Services|02 Number of patrols conducted|actual|2024|25
262|Petauke Town Council|Extension Services Provided to Farmers|Extension Services Provided to Farmers|actual|2024|4
263|Petauke Town Council|Extension Services Provided to Farmers|01 Number of farmer trainings in livestock production and management|actual|2024|2
264|Petauke Town Council|Extension Services Provided to Farmers|02 Number of climate smart technologies disseminated to farmers|actual|2024|12
265|Petauke Town Council|Backstopping and Monitoring Vsits Conducted|Backstopping and Monitoring Vsits Conducted|actual|2024|12
266|Petauke Town Council|Welfare and Counselling Services Provided|Welfare and Counselling Services Provided|actual|2024|10
267|Petauke Town Council|Welfare Services to GBVs Survivors Provided|Welfare Services to GBVs Survivors Provided|actual|2024|20
268|Petauke Town Council|Older Persons Cared|Older Persons Cared|actual|2024|50
269|Petauke Town Council|Cash for Work Initiative Implemented|Cash for Work Initiative Implemented|actual|2024|58068
270|Petauke Town Council|Cash for Work Initiative Implemented|01 Number of beneficiaries receiving Cash for Work|actual|2024|100
271|Petauke Town Council|Functional Literacy literacy students enrolled|Functional Literacy literacy students enrolled|actual|2024|100
