record_id|council_name|source_document|section_num|chiefdom|constituency|sn|project_name|village|ward|chiefdom_in_row|resources|priority|sub_item|source_page
83|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|ston|85
84|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|es|85
85|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|Rive|85
86|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|r/Bui|85
87|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|lding|85
88|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|Sand|85
89|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|Exist|85
90|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|ing|85
91|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|unpr|85
92|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|otect|85
93|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|ed|85
94|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|fores|85
95|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|ts in|85
96|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|som|85
97|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|e|85
98|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|ward|85
99|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|s|85
100|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|Uns|85
101|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|4|Creation of Community Forests|Misolo, Mkonda, Chonjo, Malengo, Katonda, Lupinda, Mwanza, Kapyela, Matonga, Milembo, Mwandindi|AllWards|N ya m ph an de||4|kille|85
