project_id|project_name|project_description|sector|project_type|province|district|constituency|ward|project_site|amount_requested_zmw|approved_amount_zmw|effective_amount_zmw|amount_category|has_amount|year_funded|status|comments|source_file
KPR-38|Classroom Block, Staff House and Toilet|1x3 Classroom Block, Staff House and Toilet|Education|Construction of 1x3 Classroom Block, Staff House and Toilet|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe||1400000.0||1400000.0|High (>1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-39|Water|Water System|Water and Sanitation|Access to Safe Drinking Water|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Mwanjabanthu RHC|35500.0||35500.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-40|Classroom Block and Dining Hall|1x3 Classroom Block and Dining Hall|Education|Construction of a 1x3 Classroom Block and Dining Hall|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Zumaile Day PTA Committee|2000000.0||2000000.0|High (>1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-41|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Meck Village|40000.0||40000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-42|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Kapotwe|30000.0||30000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-43|Bridge|Bridge|Education|Construction of a Bridge|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Nyansimbo|250000.0||250000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-44|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Nkhundwe Village|30000.0||30000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-45|Classroom Block and Staff Houses|1x3 Classroom Block and 3 Staff Houses|Water and Sanitation|Construction of a 1x3 Classroom Block and 3 Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Nyawalira Primary School|6000000.0||6000000.0|High (>1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-46|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Chimulamba Village|30000.0||30000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-47|Classroom Block|1x1 Classroom Block|Education|Construction of 1 Classroom for Early Childhood|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Wankhala Primary School|150000.0||150000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-48|Staff Houses|4 Staff Houses|Education|Construction of 4 Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe||1200000.0||1200000.0|High (>1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-49|Staff Houses|5 Staff Houses|Education|Renovation of 5 Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Zumaire Primary School|755622.0||755622.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-50|Roofing|Roofing Sheets||Roofing Materials of a Shed|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Nyalingu Community Shed||||Unknown|0|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-51|Staff Houses|Staff Houses|Education|Rehabilitation of Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Nyalingu Community|250000.0||250000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-52|Mother's Waiting Shelter|Mother's waiting Shelter|Health|Construction of a Mother's Waiting Shelter|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Kaumbwe Mini Hospital|800000.0||800000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-53|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Zuwa Village|40000.0||40000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-54|Water|Water|Water and Sanitation|Access to Safe Drinking Water|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Sinyanga Village|50000.0||50000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-55|Water|Water|Water and Sanitation|Access to Safe Drinking Water|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Nyamanja Village|280000.0||280000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-56|Staff Houses and Early Childhood Classroom Block|Staff Houses and Early Childhood Classroom Block|Education|Construction of Staff Houses and Early Childhood Classroom Block|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Mbaza Primary School|500000.0||500000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-57|Sub Clinic|Sub Clinic|Health|Construction of a Sub Clinic|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Mbaza Primary School|500000.0||500000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-58|Road and Bridge|Road and Bridge|Education|Construction of Road and Bridge|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Mbaza Primary School|500000.0||500000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-59|Classroom Block|Classroom Block|Education|Completion of a Classroom Block|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Mwanjabanthu Day Secondary|1500000.0||1500000.0|High (>1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-60|Health Equipment|Health Equipment|Health|Purchase of Health Equipment|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Kaumbwe Min Hospital|800000.0||800000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-61|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Kaumbwe|Mwenda Village|40000.0||40000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-62|Water|Water Borne|Water and Sanitation|Access to Safe Drinking Water|Muchinga|Kaumbwe|Kaumbwe|Manyane|Nyanema Village|50000.0||50000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-63|Water|Water|Water and Sanitation|Access to Safe Drinking Water|Muchinga|Kaumbwe|Kaumbwe|Manyane|Nyanoka|45000.0||45000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-64|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Manyane|Kapinde Village|50000.0||50000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-65|Modern Out-patient Department|Modern Out-patient Department|Health|Construction of a Modern Out-patient Department|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Manyane Health Centre|990000.0||990000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-66|Staff Houses|Staff Houses|Health|Construction of Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Manyane Health Centre|600000.0||600000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-67|Staff House and Toilet|Staff House and Toilet|Fisheries and Livestock|Construction and rehabilitation of a Staff House and Toilet|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Manyane Settlement|250000.0||250000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-68|Staff Houses, Toilets, Placenta Pit, Incinerator and Maternity Annex|Staff Houses, Toilets, Placenta Pit, Incinerator and Maternity Annex|Health|Construction of Staff Houses, Toilets, Placenta Pit, Incinerator and Maternity Annex|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Nyimbamwana Health Post|50000.0||50000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-69|Health Post|Health Post|Health|Construction of a Health Post|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Kafunde|1000000.0||1000000.0|High (>1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-70|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Manjazi|||||Unknown|0|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-71|Staff Houses|Staff Houses|Education|Construction of Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Chikoko Primary School||||Unknown|0|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-72|Dip Water Tanks|Dip Water Tanks|Water and Sanitation|Access to Safe Drinking Water|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Nyakwenda Village|250000.0||250000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-73|Classroom Block, Toilets and Staff Houses|1x3 Classroom Block, Toilets and Staff Houses|Education|Construction 1x3 Classroom Block, Toilets and Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Nyimbamwana Primary School|500000.0||500000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-74|Maternity Annex|Maternity Annex|Health|Construction of a Maternity Annex|Muchinga|Kaumbwe|Kaumbwe|Manjazi||500000.0||500000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-75|Staff House|Staff House|Agriculture|Construction of a Staff House|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Manyane Agriculture Camp|273850.0||273850.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-76|Water Tank|Water Tank|Water and Sanitation|Installation of Water Tank and Taps|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Amose and Mphambeni Village|318000.0||318000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-77|Houses, Court Room and Borehole|Houses, Court Room and Borehole|Judiciary|Construction of 5 Staff Houses, Court Room and Drilling a Borehole|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Manyane Local Court|450000.0||450000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-78|Staff Houses|2 Staff Houses|Education|Construction of 2 Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Manjazi||200000.0||200000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-79|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Mwanza Village|50000.0||50000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-80|Water|Water|Water and Sanitation|Access to Safe Drinking Water|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Nkhwenze||||Unknown|0|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-81|Water|Water|Water and Sanitation|Access to Safe Drinking Water|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Nyasoka Village||||Unknown|0|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-82|Dam|Dam|Water and Sanitation|Construction of a Dam|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Manjazi||||Unknown|0|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-83|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Kamisi Village||||Unknown|0|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
