sn|council|indicator_group|indicator|metric|year|value
26|Petauke Town Council|Planning permission granted|01 Proportion of planning permission granted|target|2024|130
27|Petauke Town Council|Numbering and survey of plots facilitated|Numbering and survey of plots facilitated|target|2024|20
28|Petauke Town Council|Numbering and survey of plots facilitated|01 Number of plots facilitated for numbering|target|2024|20
29|Petauke Town Council|National Days Commemorated|National Days Commemorated|target|2024|4
30|Petauke Town Council|District planning documents developed and reviewed|District planning documents developed and reviewed|target|2024|1
31|Petauke Town Council|District planning documents developed and reviewed|01 Gender Equality and Social Inclusion Policy developed|target|2024|13
32|Petauke Town Council|District planning documents developed and reviewed|02 Number of ward plans developed|target|2024|1
33|Petauke Town Council|District planning documents developed and reviewed|03 Number of district profile developed|target|2024|1
34|Petauke Town Council|Unclaimed bodies disposed off|Unclaimed bodies disposed off|target|2024|100
35|Petauke Town Council|Food Safety Guaranteed|Food Safety Guaranteed|target|2024|100
36|Petauke Town Council|Food Safety Guaranteed|01 Proportion compliance of premises to minimum public health standards|target|2024|100
37|Petauke Town Council|Abattoir rehabilitated|Abattoir rehabilitated|target|2024|1
38|Petauke Town Council|Solid Waste Management Improved|Solid Waste Management Improved|target|2024|8600
39|Petauke Town Council|Solid Waste Management Improved|01 Tonnage of solid waste collected|target|2024|52
40|Petauke Town Council|Engineered Landfill constructed|Engineered Landfill constructed|target|2024|1
41|Petauke Town Council|Conducive trading spaces created|Conducive trading spaces created|target|2024|1
42|Petauke Town Council|Conducive trading spaces created|01 Number of markets constructed|target|2024|3
43|Petauke Town Council|Bus station constructed|Bus station constructed|target|2024|1
44|Petauke Town Council|WASHE Conditions Improved in the District|WASHE Conditions Improved in the District|target|2024|52
45|Petauke Town Council|WASHE Conditions Improved in the District|01 Number of Community Sensitisations Campaign on WASHE conducted|target|2024|40
46|Petauke Town Council|Cultural practices in the district inventoried|Cultural practices in the district inventoried|target|2024|1
47|Petauke Town Council|Cultural and creative industries developed|Cultural and creative industries developed|target|2024|1
48|Petauke Town Council|Traditional ceremonies supported|Traditional ceremonies supported|target|2024|2
49|Petauke Town Council|Sports activities promoted|Sports activities promoted|target|2024|7
50|Petauke Town Council|Sports activities promoted|01 Number of sports activities conducted at ward level|target|2024|7
51|Petauke Town Council|Sports activities promoted|02 Number of sports activities conducted at district level|target|2024|7
52|Petauke Town Council|Sports activities promoted|03 Number of sports equipment procured|target|2024|7
53|Petauke Town Council|Sports activities promoted|04 Number of sports associations formed|target|2024|4
54|Petauke Town Council|Sports activities promoted|05 Number of health walks/aerobics conducted|target|2024|1
55|Petauke Town Council|Sports activities promoted|06 Number of coaching clinics conducted|target|2024|16
56|Petauke Town Council|Sensitisation of communities on the National Sports Policy conducted|Sensitisation of communities on the National Sports Policy conducted|target|2024|2
57|Petauke Town Council|Sports facility rehabilitated|Sports facility rehabilitated|target|2024|4
58|Petauke Town Council|District Record Surveyed|District Record Surveyed|target|2024|1
59|Petauke Town Council|Records collected|Records collected|target|2024|100
60|Petauke Town Council|Records processed and shelved|Records processed and shelved|target|2024|6
61|Petauke Town Council|Pre-school enrolment|Pre-school enrolment|target|2024|50
62|Petauke Town Council|Reported cases of public nuisance resolved|Reported cases of public nuisance resolved|target|2024|100
63|Petauke Town Council|Building inspections conducted|Building inspections conducted|target|2024|100
64|Petauke Town Council|Fire protection services implemented|Fire protection services implemented|target|2024|100
65|Petauke Town Council|Fire protection services implemented|01 Percentage of sensitisation meetings on risk management conducted|target|2024|100
66|Petauke Town Council|Internal audit reports actioned|Internal audit reports actioned|target|2024|4
67|Petauke Town Council|Procurement plan developed|Procurement plan developed|target|2024|1
68|Petauke Town Council|Provincial Development Coordinating Committee meeting attended|Provincial Development Coordinating Committee meeting attended|target|2024|4
69|Petauke Town Council|District Development Coordinating Committee meetings held|District Development Coordinating Committee meetings held|target|2024|4
70|Petauke Town Council|Management meetings held|Management meetings held|target|2024|12
71|Petauke Town Council|Debt liquidated|Debt liquidated|target|2024|2
72|Petauke Town Council|Performance reports and financial statements produced|Performance reports and financial statements produced|target|2024|4
73|Petauke Town Council|Performance reports and financial statements produced|01 Number of financial statements prepared|target|2024|4
74|Petauke Town Council|New Valuation Roll prepared|New Valuation Roll prepared|target|2024|1
75|Petauke Town Council|Review of legal instruments undertaken|Review of legal instruments undertaken|target|2024|100
76|Petauke Town Council|Council revenue base expanded|Council revenue base expanded|target|2024|3
77|Petauke Town Council|Council revenue base expanded|01 Number of Revenue agents (WDCs) engaged in revenue collection|target|2024|4
78|Petauke Town Council|Essential medicines services provided in health facilities|Essential medicines services provided in health facilities|target|2024|100
79|Petauke Town Council|Performance assessment conducted|Performance assessment conducted|target|2024|28
80|Petauke Town Council|Medical and surgical services conducted|Medical and surgical services conducted|target|2024|100
81|Petauke Town Council|Medical and surgical services conducted|01 Proportion of surgical cases conducted|target|2024|100
82|Petauke Town Council|Street lights installed|Street lights installed|target|2024|42
83|Petauke Town Council|Culvert constructed|Culvert constructed|target|2024|1
84|Petauke Town Council|Township roads rehabilitated|Township roads rehabilitated|target|2024|4
85|Petauke Town Council|Climate Smart Agriculture (CSA) technologies and practices disseminated|Climate Smart Agriculture (CSA) technologies and practices disseminated|target|2024|10
86|Petauke Town Council|Climate Smart Agriculture (CSA) technologies and practices disseminated|01 Number of CSA training reports produced|target|2024|6
87|Petauke Town Council|Climate Smart Agriculture (CSA) technologies and practices disseminated|02 Number of crop monitoring reports produced|target|2024|10
88|Petauke Town Council|Climate Smart Agriculture (CSA) technologies and practices disseminated|03 Number of farmers field schools established|target|2024|10
89|Petauke Town Council|Irrigation technologies and practices enhanced|Irrigation technologies and practices enhanced|target|2024|4
90|Petauke Town Council|Land husbandry technologies dissseminated|Land husbandry technologies dissseminated|target|2024|320
91|Petauke Town Council|Farmer power and mechanisation (FPM) enhanced|Farmer power and mechanisation (FPM) enhanced|target|2024|4
92|Petauke Town Council|Agricultural extension services delivery improved|Agricultural extension services delivery improved|target|2024|1
93|Petauke Town Council|Agricultural extension services delivery improved|01 Numbers farmers registers updated|target|2024|1
94|Petauke Town Council|Agricultural extension services delivery improved|02 Number of camp houses rehabilitated|target|2024|1
95|Petauke Town Council|Agriculture information collected and disseminated|Agriculture information collected and disseminated|target|2024|12
96|Petauke Town Council|Agricultural market linkages for diverse crops established and enhanced|Agricultural market linkages for diverse crops established and enhanced|target|2024|5
97|Petauke Town Council|Agricultural market linkages for diverse crops established and enhanced|01 Number of entrepreneurship skills trainings conducted|target|2024|2
98|Petauke Town Council|Market information systems established and functional|Market information systems established and functional|target|2024|1
99|Petauke Town Council|Planning, monitoring and evaluation of agricultural programmes conducted|Planning, monitoring and evaluation of agricultural programmes conducted|target|2024|4
100|Petauke Town Council|Agricultural shows coordinated|Agricultural shows coordinated|target|2024|3
101|Petauke Town Council|Monthly marketing bulletins produced and disseminated|Monthly marketing bulletins produced and disseminated|target|2024|12
102|Petauke Town Council|Monthly marketing bulletins produced and disseminated|01 Number of marketing bulletins produced|target|2024|12
103|Petauke Town Council|Entrepreneurship trainings conducted|Entrepreneurship trainings conducted|target|2024|2
104|Petauke Town Council|Fisheries and livestock value addition trainings conducted|Fisheries and livestock value addition trainings conducted|target|2024|2
105|Petauke Town Council|Animal health extension and advisory services provided|Animal health extension and advisory services provided|target|2024|24
106|Petauke Town Council|Animal health extension and advisory services provided|01 Number of Disease surveillance programs and activities undertaken|target|2024|320
107|Petauke Town Council|Animal health extension and advisory services provided|02 Number of stock movement permits issued|target|2024|320
108|Petauke Town Council|Animal health extension and advisory services provided|03 Number of slaughter permits issued|target|2024|200
109|Petauke Town Council|Aquaculture extension services|Aquaculture extension services|target|2024|16
110|Petauke Town Council|Aquaculture extension services|01 Number of fish farming trainings conducted|target|2024|60
111|Petauke Town Council|Aquaculture extension services|02 Number of technical backstopping and monitoring conducted|target|2024|16
112|Petauke Town Council|Aquaculture extension services|03 Number of patrols conducted|target|2024|25
113|Petauke Town Council|Aquaculture extension services|04 Number of fish permits issued|target|2024|6
114|Petauke Town Council|Extension services provided to farmers|Extension services provided to farmers|target|2024|1
115|Petauke Town Council|Extension services provided to farmers|01 Number of field days conducted|target|2024|4
116|Petauke Town Council|Extension services provided to farmers|02 Number of farmer trainings in livestock production and management|target|2024|8
117|Petauke Town Council|Extension services provided to farmers|03 Number of livestock demonstrations conducted|target|2024|2
118|Petauke Town Council|Extension services provided to farmers|04 Number of climate smart technologies disseminated to farmers|target|2024|12
119|Petauke Town Council|Backstopping and monitoring visits conducted|Backstopping and monitoring visits conducted|target|2024|12
120|Petauke Town Council|Welfare and counselling services to families in need provided|Welfare and counselling services to families in need provided|target|2024|10
121|Petauke Town Council|Welfare services to GBVs survivors provided|Welfare services to GBVs survivors provided|target|2024|20
122|Petauke Town Council|Older persons cared for|Older persons cared for|target|2024|50
123|Petauke Town Council|Cash for Work Initiative implemented|Cash for Work Initiative implemented|target|2024|58068
124|Petauke Town Council|Cash for Work Initiative implemented|01 Number of beneficiaries receiving Cash for Work|target|2024|100
125|Petauke Town Council|Poor and vulnerable learners trained under functional literacy|Poor and vulnerable learners trained under functional literacy|target|2024|100
126|Petauke Town Council|Community Projects implemented|Community Projects implemented|target|2025|13
127|Petauke Town Council|Roads rehabilitated using fuel allocation|Roads rehabilitated using fuel allocation|target|2025|13
128|Petauke Town Council|Community projects branded|Community projects branded|target|2025|13
129|Petauke Town Council|Weekly CDF radio shows held|Weekly CDF radio shows held|target|2025|13
130|Petauke Town Council|CDF News letters produced|CDF News letters produced|target|2025|13
131|Petauke Town Council|Secondary Boarding and Skills Development Bursaries Supported|Secondary Boarding and Skills Development Bursaries Supported|target|2025|13
132|Petauke Town Council|Council Meetings conducted.|Council Meetings conducted.|target|2025|16
133|Petauke Town Council|Community engagement meetings held|Community engagement meetings held|target|2025|16
134|Petauke Town Council|Environmental compliance inspections conducted|Environmental compliance inspections conducted|target|2025|19
135|Petauke Town Council|Planning permission granted|Planning permission granted|target|2025|19
136|Petauke Town Council|Numbering and survey of plots facilitated|Numbering and survey of plots facilitated|target|2025|19
137|Petauke Town Council|National Days Commemorated|National Days Commemorated|target|2025|19
138|Petauke Town Council|District planning documents developed and reviewed|District planning documents developed and reviewed|target|2025|19
139|Petauke Town Council|Unclaimed bodies disposed off|Unclaimed bodies disposed off|target|2025|22
140|Petauke Town Council|Food Safety Guaranteed|Food Safety Guaranteed|target|2025|22
141|Petauke Town Council|Abattoir rehabilitated|Abattoir rehabilitated|target|2025|22
142|Petauke Town Council|Solid Waste Management Improved|Solid Waste Management Improved|target|2025|22
143|Petauke Town Council|Engineered Landfill constructed|Engineered Landfill constructed|target|2025|22
144|Petauke Town Council|Conducive trading spaces created|Conducive trading spaces created|target|2025|24
145|Petauke Town Council|Bus station constructed|Bus station constructed|target|2025|24
146|Petauke Town Council|WASHE Conditions Improved in the District|WASHE Conditions Improved in the District|target|2025|24
147|Petauke Town Council|Cultural practices in the district inventoried|Cultural practices in the district inventoried|target|2025|26
148|Petauke Town Council|Cultural and creative industries developed|Cultural and creative industries developed|target|2025|26
149|Petauke Town Council|Traditional ceremonies supported|Traditional ceremonies supported|target|2025|26
150|Petauke Town Council|Sports activities promoted|Sports activities promoted|target|2025|26
151|Petauke Town Council|Sensitisation of communities on the National Sports Policy conducted|Sensitisation of communities on the National Sports Policy conducted|target|2025|26
152|Petauke Town Council|Sports facility rehabilitated|Sports facility rehabilitated|target|2025|26
153|Petauke Town Council|District Record Surveyed|District Record Surveyed|target|2025|28
154|Petauke Town Council|Records collected|Records collected|target|2025|28
155|Petauke Town Council|Records processed and shelved|Records processed and shelved|target|2025|28
156|Petauke Town Council|Pre-school enrolment|Pre-school enrolment|target|2025|28
157|Petauke Town Council|Reported cases of public nuisance resolved|Reported cases of public nuisance resolved|target|2025|30
158|Petauke Town Council|Building inspections conducted|Building inspections conducted|target|2025|30
159|Petauke Town Council|Fire protection services implemented|Fire protection services implemented|target|2025|30
160|Petauke Town Council|Internal audit reports actioned|Internal audit reports actioned|target|2025|33
161|Petauke Town Council|Procurement plan developed|Procurement plan developed|target|2025|33
162|Petauke Town Council|Provincial Development Coordinating Committee meeting attended|Provincial Development Coordinating Committee meeting attended|target|2025|33
163|Petauke Town Council|District Development Coordinating Committee meetings held|District Development Coordinating Committee meetings held|target|2025|33
164|Petauke Town Council|Management meetings held|Management meetings held|target|2025|33
165|Petauke Town Council|Debt liquidated|Debt liquidated|target|2025|33
166|Petauke Town Council|Performance reports and financial statements produced|Performance reports and financial statements produced|target|2025|33
167|Petauke Town Council|New Valuation Roll prepared|New Valuation Roll prepared|target|2025|33
168|Petauke Town Council|Review of legal instruments undertaken|Review of legal instruments undertaken|target|2025|33
169|Petauke Town Council|Council revenue base expanded|Council revenue base expanded|target|2025|35
170|Petauke Town Council|Essential medicines services provided in health facilities|Essential medicines services provided in health facilities|target|2025|37
171|Petauke Town Council|Performance assessment conducted|Performance assessment conducted|target|2025|37
172|Petauke Town Council|Medical and surgical services conducted|Medical and surgical services conducted|target|2025|37
173|Petauke Town Council|Street lights installed|Street lights installed|target|2025|39
174|Petauke Town Council|Culvert constructed|Culvert constructed|target|2025|39
175|Petauke Town Council|Township roads rehabilitated|Township roads rehabilitated|target|2025|39
176|Petauke Town Council|Climate Smart Agriculture (CSA) technologies and practices disseminated|Climate Smart Agriculture (CSA) technologies and practices disseminated|target|2025|41
177|Petauke Town Council|Irrigation technologies and practices enhanced|Irrigation technologies and practices enhanced|target|2025|41
178|Petauke Town Council|Land husbandry technologies dissseminated|Land husbandry technologies dissseminated|target|2025|41
179|Petauke Town Council|Farmer power and mechanisation (FPM) enhanced|Farmer power and mechanisation (FPM) enhanced|target|2025|41
180|Petauke Town Council|Agricultural extension services delivery improved|Agricultural extension services delivery improved|target|2025|41
181|Petauke Town Council|Agriculture information collected and disseminated|Agriculture information collected and disseminated|target|2025|41
182|Petauke Town Council|Agricultural market linkages for diverse crops established and enhanced|Agricultural market linkages for diverse crops established and enhanced|target|2025|41
183|Petauke Town Council|Market information systems established and functional|Market information systems established and functional|target|2025|41
184|Petauke Town Council|Planning, monitoring and evaluation of agricultural programmes conducted|Planning, monitoring and evaluation of agricultural programmes conducted|target|2025|41
185|Petauke Town Council|Agricultural shows coordinated|Agricultural shows coordinated|target|2025|44
186|Petauke Town Council|Monthly marketing bulletins produced and disseminated|Monthly marketing bulletins produced and disseminated|target|2025|44
187|Petauke Town Council|Entrepreneurship trainings conducted|Entrepreneurship trainings conducted|target|2025|44
188|Petauke Town Council|Fisheries and livestock value addition trainings conducted|Fisheries and livestock value addition trainings conducted|target|2025|44
189|Petauke Town Council|Animal health extension and advisory services provided|Animal health extension and advisory services provided|target|2025|44
190|Petauke Town Council|Aquaculture extension services|Aquaculture extension services|target|2025|44
191|Petauke Town Council|Extension services provided to farmers|Extension services provided to farmers|target|2025|44
192|Petauke Town Council|Backstopping and monitoring visits conducted|Backstopping and monitoring visits conducted|target|2025|44
193|Petauke Town Council|Welfare and counselling services to families in need provided|Welfare and counselling services to families in need provided|target|2025|47
194|Petauke Town Council|Welfare services to GBVs survivors provided|Welfare services to GBVs survivors provided|target|2025|47
195|Petauke Town Council|Older persons cared for|Older persons cared for|target|2025|47
196|Petauke Town Council|Cash for Work Initiative implemented|Cash for Work Initiative implemented|target|2025|47
197|Petauke Town Council|Poor and vulnerable learners trained under functional literacy|Poor and vulnerable learners trained under functional literacy|target|2025|47
198|Petauke Town Council|Geographic|Geographic|target|2025|48
