No.,Project Name,Project Description,Sector,Type of Project,Constituency,Ward,Project Site/Location,Project Amount Requested,COMMENTS
61,Health Post,Health Post,Health,Construction of a Health Post,Kaumbwe,Manjazi,Kafunde,"1,000,000",Funds were not adequate for all projects to be approved
62,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manjazi,,NIL,Funds were not adequate for all projects to be approved
63,Dip Water Tanks,Dip Water Tanks,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manjazi,Nyakwenda Village,"250,000",Funds were not adequate for all projects to be approved
64,Maternity Annex,Maternity Annex,Health,Construction of a Maternity Annex,Kaumbwe,Manjazi,,"500,000",Funds were not adequate for all projects to be approved
65,Water Tank,Water Tank,Water and Sanitation,Installation of Water Tank and Taps,Kaumbwe,Manjazi,Amose and Mphambeni Village,"318,000",Funds were not adequate for all projects to be approved
66,"Houses, Court Room and Borehole","Houses, Court Room and Borehole",Judiciary,"Construction of 5 Staff Houses, Court Room and Drilling a Borehole",Kaumbwe,Manjazi,Manyane Local Court,"4,500,000",Funds were not adequate for all projects to be approved
67,Staff Houses,2 Staff Houses,Education,Construction of 2 Staff Houses,Kaumbwe,Manjazi,,"200,000",Funds were not adequate for all projects to be approved
68,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manjazi,Mwanza Village,"50,000",Funds were not adequate for all projects to be approved
69,Water,Water,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manjazi,Nkhwenze,NIL,Funds were not adequate for all projects to be approved
70,Water,Water,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manjazi,Nyasoka Village,NIL,Funds were not adequate for all projects to be approved
71,Dam,Dam,Water and Sanitation,Construction of a Dam,Kaumbwe,Manjazi,Manjazi,NIL,Funds were not adequate for all projects to be approved
72,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manjazi,Kamisi Village,NIL,Funds were not adequate for all projects to be approved
73,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manjazi,Chionviya Village,NIL,Funds were not adequate for all projects to be approved
74,Borehole and Dip Tank,Borehole and Dip Tank,Water and Sanitation,Drilling Borehole and Dip Tank,Kaumbwe,Manjazi,Manyane Community,"325,000",Funds were not adequate for all projects to be approved
75,Health Post,Health Post,Health,Construction of a Health Post,Kaumbwe,Manjazi,Joe-kapili Village,NIL,Funds were not adequate for all projects to be approved
