No.,Project Name,Project Description,Sector,Type of Project,Constituency,Ward,Project Site/Location,Project Amount Requested
72,Dip Water Tanks,Dip Water Tanks,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manjazi,Nyakwenda Village,"250,000"
73,"Classroom Block, Toilets and Staff Houses","1x3 Classroom Block, Toilets and Staff Houses",Education,"Construction 1x3 Classroom Block, Toilets and Staff Houses",Kaumbwe,Manjazi,Nyimbamwana Primary School,"500,000"
74,Maternity Annex,Maternity Annex,Health,Construction of a Maternity Annex,Kaumbwe,Manjazi,,"500,000"
75,Staff House,Staff House,Agriculture,Construction of a Staff House,Kaumbwe,Manjazi,Manyane Agriculture Camp,"273,850"
76,Water Tank,Water Tank,Water and Sanitation,Installation of Water Tank and Taps,Kaumbwe,Manjazi,Amose and Mphambeni Village,"318,000"
77,"Houses, Court Room and Borehole","Houses, Court Room and Borehole",Judiciary,"Construction of 5 Staff Houses, Court Room and Drilling a Borehole",Kaumbwe,Manjazi,Manyane Local Court,"4,500,00"
78,Staff Houses,2 Staff Houses,Education,Construction of 2 Staff Houses,Kaumbwe,Manjazi,,"200,000"
79,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manjazi,Mwanza Village,"50,000"
80,Water,Water,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manjazi,Nkhwenze,NIL
81,Water,Water,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manjazi,Nyasoka Village,NIL
82,Dam,Dam,Water and Sanitation,Construction of a Dam,Kaumbwe,Manjazi,Manjazi,NIL
83,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manjazi,Kamisi Village,NIL
84,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manjazi,Chionviya Village,NIL
85,Borehole and Dip Tank,Borehole and Dip Tank,Water and Sanitation,Drilling Borehole and Dip Tank,Kaumbwe,Manjazi,Manyane Community,"325,000"
86,Health Post,Health Post,Health,Construction of a Health Post,Kaumbwe,Manjazi,Joe-kapili Village,NIL
87,Staff Houses,3 Staff Houses,Education,Construction of 3 Staff Houses,Kaumbwe,Lusinde,Nyandubane Primary School,"510,000"
88,Staff Houses,2 Solar Powered Staff Houses,Education,Construction of 2 Solar Powered Staff Houses,Kaumbwe,Lusinde,Lunene Primary School,"1,000,000"
89,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Lusinde,Mbwika Village,"60,000"
90,Bridge,Bridge,,Construction of a Bridge,Kaumbwe,Lusinde,Chinsima Village,"180,000"
91,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Lusinde,Kanyukuta Gardener Co-operat,"60,000"
92,Classroom Block,Classroom Block,Education,Construction of a Classroom Block,Kaumbwe,Lusinde,Kafuwele Primary School,NIL
93,Dam,Dam,Water and Sanitation,Rehabilitation of a Dam,Kaumbwe,Lusinde,Nyandubane,"720,000"
94,Classroom Block,Classroom Block,Education,Construction of a Classroom Block,Kaumbwe,Lusinde,Nyandubane Primary School,"170,000"
95,House,House,Health,Construction of a house,Kaumbwe,Lusinde,Mtukuzi Healthy Post,"80,000"
96,Classroom Block and Staff House,1x2 Classroom Block and 1 Staff House,Education,Construction of a 1x2 Classroom Block and 1 Staff House,Kaumbwe,Lusinde,Katayauchi PTC,"1,475,450"
97,Classroom Block,1x3 Classroom Block,Education,Construction of 1x3 Classroom Block,Kaumbwe,Lusinde,Nzumbi Primary School,"1,198,607.25"
98,Classroom Block,1x2 ECE Classroom Block,Education,Construction of 1x2 Classroom Block,Kaumbwe,Lusinde,Lunene Primary School,"700,000"
99,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Lusinde,Sikalenje,NIL
100,"Classroom, Staff House and Ablution Block","1x3 Classroom Block, 1 Staff House and Ablution Block",Education,"Construction of 1x3 Classroom Block, 1 Staff House and Ablution Block",Kaumbwe,Lusinde,Lusinde Day Secondary School,"2,110,000"
101,Tower,Tower,Communication,Construction of a Communication Tower,Kaumbwe,Lusinde,Lusinde Community,"120,000"
102,Toilets,VIP Toilets,Education,Construction of VIP Toilets,Kaumbwe,Lusinde,Lusinde Community,"50,000"
103,Laboratory,Computer Laboratory,Education,Construction of a Computer Laboratory,Kaumbwe,Lusinde,Lusinde,"120,000"
104,Health Post,Health Post,Health,Construction of a Health Post,Kaumbwe,Lusinde,Lusinde Community,"110,000"
105,Dip Water Tank,Dip Water Tank,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Lusinde,Lunene,"350,000"
106,Health Post,Health Post,Health,Construction of a Health Post,Kaumbwe,Lusinde,Lunene,NIL
